ID,Date,JobTitle,PostTitle,Pros,Cons,EmploymentStatus,Location,OverallRating,BenefitsRating,CareerOpportunityRating,SeniorManagementRating,WorkEnvironmentRating,WorkLifeBalanceRating,DiversityRating
2970089,2018-06-26T11:20:16Z,Human Resources Manager,Great opportunity to work for a leading organisation,Flexibility and the technology that enables you to meet remotely. The office is set up for proper agile work and there is true activity based working. New Darling Square office is very nice. You also get some good employee banking benefits.,Large company with many layers of bureaucracy. There are areas where engagement scores are very low and attrition is high and it doesn't seem to really register with the group executives.  Obviously there's ethical practises being raised through royal commission as well.,former employee,"Sydney NSW, Australia",4,3,3,3,5,5,5
2575752,2018-02-21T13:50:49Z,Relationship Manager,Had lots of success but you need to understand and follow protocol to progress,"Great systems, good innovation . Great opportunity for female managers wanting to climb the corporate ladder","Average pay, you hope for a bonus that is based on too many uncontrollables. Lacks transparency. Salary growth non existent",former employee,"WA, Australia",3,3,3,3,4,4,5
2536173,2018-02-09T07:10:08Z,Manager,Had the opportunity to work on multiple critical projects that strengthened my skills and experience.,"Interesting projects
Highly motivated teams","Change in ways of working with each change of higher management, without understanding what went right or wrong with the current process.",former employee,"Sydney NSW, Australia",5,5,4,3,4,3,4
2529694,2018-02-08T10:08:36Z,Executive,Might be back one day,"Great career longevity 
Clear vision and values 
Clear expectations at awesome leadership teams 
Awesome reward and recognition",Very Sydney centric organisation - a lot of work still to be done to promote role mobility vs people mobility,former employee,"Perth WA, Australia",4,5,3,4,3,4,5
2523525,2018-02-08T06:53:45Z,Customer Service Representative,"Great experience for first serious job, plenty  of opportunity for progress and movement.","Please note, I worked there many years ago.
No issues with pay or super and good staff bonuses- ie shares .. Great environment to work in for a large corporation","Too much focus on sales- good for profit but bad for customer relations.
Could focus on employing more older staff members",former employee,"Sydney NSW, Australia",4,4,5,3,4,4,5
2493088,2018-01-31T03:32:01Z,Graduate,Impactful and flexible work with great team cultures,The culture within the teams. From funny banter to ping pong to Hearthstone each team I spent time in offered great experiences. I take full advantage of the work/life balance offered here as well to support my volunteering commitments with full backing from managers. If you want to make a difference both at work and within your community this is definitely a place you want to be. The managers have also been exceptional.,While rare a hierarchy exists in some areas which can impact your work. Although PA's do a great job managing this and it doesn't apply to analytical areas I've been to.,current employee,"Sydney, New South Wales, Australia",5,4,5,5,5,5,5
2442679,2018-01-16T03:30:54Z,Digital,Don't stay longer than you need to,"Fantastic peers, training, learning opportunities, experimental, innovative. They also attract a lot of brilliant talent (but fail at the senior management level).","Unfortunately, managers at almost every level are incompetent, lack empathy, take the credit for what their team members do and/or just have their own agendas. The bank also doesn't seem to hire managers who possess the same skills as their teams so they can't be mentors or manage teams well. They also don't focus on improving people and culture and then wonder why the survey results are low and blame it all on the poor workers.",former employee,"Sydney, New South Wales, Australia",3,4,2,1,3,3,3
2301517,2018-01-03T01:08:58Z,Mobile Banker,Everything at CBA just works.,"Commonwealth Bank is one of the best resourced companies I've ever worked for. The Process, Procedures, and Technology enable me to do my job and deliver the best outcomes for my customers. This combined with a supportive management structure and a truly positive culture means that I'll be working at CBA until I retire.",There arn't many negatives working here at CBA,current employee,"Bondi Junction, New South Wales, Australia",5,5,5,5,5,5,5
2241849,2017-12-13T23:54:32Z,Customer Service Officer,Wonderful place to work.  Wish I could return.,Very understanding to life changes.  I was with the Commonwealth Bank before I was married to when I started a family.  They were always helpful in getting me the right position close to home to help out with my needs.  I have made wonderful friends who I still are in contact with today!,"Sales Targets are high, but they keep you working hard and make for a great day when that bonus is handed to you.",former employee,"Woodridge, Queensland, Australia",5,5,5,5,4,4,5
2201151,2017-11-30T04:08:27Z,Retail Banking Specialist,"Great career learning and opportunity, recommend to any young starter",The company provide great trainings and opportunities are limitless if you are good at your job. The company accomodate the staffs often if they moved to another area or city.,It has been quite a journey my 7 years with CBA. I wouldn't be who I am today if it wasn't for the experience and learning CBA provided. but that's most jobs. Depends on where you are located the sales pressure can be overwhelming .,former employee,"Brisbane City, Queensland, Australia",5,4,5,4,4,5,5
2173875,2017-11-23T08:40:39Z,Manager - Finance,Ruthless.,"Some staff discounts for insurance products, but they don't treat staff any better than any other customer when you need to make a claim. And if you have a banking dispute they will dare you to go to the ombudsman.","Loyalty is not rewarded. 
Poor commitment to training - they prefer to have other people pay for it and then hire it in. 
If you are a specialist in a particular area, they don't retrain you when they change technology, they just show you the door.
""Activity based working"" (don't have your own desk) and poor building design leads to high transmission rates for airborne illnesses, and noise transmission makes it difficult to engage in ""deep work"" where you need uninterrupted concentration to complete complex or creative tasks.",current employee,"Sydney, New South Wales, Australia",1,2,1,2,1,3,2
2175967,2017-11-23T06:40:52Z,Not To Be Disclosed,"Largest, yet still a traditional bank at risk of disruptive innovation","Similar to other large organizations and consistent with 21st century business model, CBA provides great opportunities for women and diverse background candidates for career advancement.","Depending on business units and work environments (not necessarily reflective of the entire organization), my observations of the BU I worked for:
- Cost is still a major driver to people management, often at the expense of talented employees
- Lack of job design
- Traditional rather than transformation/collaborative leaders 
- Transactional rather than relational employee-employer relationship
- Rigid process/policies/procedures, internal systems with pre-existing issues/bugs and lack of reliable tools for analytics in lending space are primary issues that impedes speed to market 
- Requires improved management of change",former employee,"Perth, WA, Australia",3,2,3,2,2,2,3
2029688,2017-10-11T00:56:19Z,Lender,Not what you would expect from a multi billion dollar company,Some of the staff are friendly and caring but overall the culture is terrible. There is a lack of accountability. Lots of talk and very little action.,"Management have a terrible ""metric"" culture in which they obsess over data and stats but fail to understand the purpose behind the data or stats. Management show little respect to frontline staff.",current employee,"Sydney, New South Wales, Australia",1,2,1,1,2,3,3
1853411,2017-08-19T20:52:04Z,Change Manager Wealth Management,Great culture.  I've worked for CBA twice and both times it was great.  The culture is really mature and people are easy to get on with,"Good team 
Good facilities 
Wifi worked everywhere
Email and access all working from day one 
Friendly culture",Hot desking not good.  No permanent desk meant you couldn't sit with team.  Had to keep things in locker.  Had to clean desk everyday before using it,current employee,"Sydney, New South Wales, Australia",4,2,3,5,4,4,5
1852644,2017-08-19T12:40:13Z,Manager,"Large organisation with opportunities, comes with the usual pros and cons","Modern office spaces, embraces flexible working, a large organisation within which there are numerous development/progression opportunities","As with all organisations, it really depends on which area you're in and what sort of people make up your team/stakeholders as to what experience you will have.",current employee,"Sydney, New South Wales, Australia",3,4,4,3,4,4,3
1850963,2017-08-19T06:28:55Z,IT Delivery Manage,CBA is that one company that you'll never think of leaving.,They invest resources to ensure that they give the best conditions to their staff. They look after their people and encourage professional growth. They look after your personal well-being and provide maximum level of support regardless of your rank!,"As with any large companies, risk and compliance are two top things that we always need to be careful about. This sometimes leads to slow development pace, however, I'd say this is justifiable.",current employee,"Sydney, New South Wales, Australia",5,5,5,5,5,5,5
1580907,2017-05-23T00:38:26Z,Business Banking Specialist,"I can confidently and proudly say that my peers and I all work to the values of integrity, collaboration, service, excellence and accountability on a daily basis, and we achieve the goals we set with the support of our managers and other leaders.","As a Commonwealth Bank employee, I feel very supported both from within the branch and from the leaders above us. There is so much opportunity to grow and learn, and I have felt that my managers have backed me 100% when I needed it. The pay is very attractive, especially if KPIs are met, and I especially love the values based drive behind those KPIs.","The work life balance piece can be difficult, especially now that I am expecting a family and knowing that my role requires a full time commitment. That being said, the Commonwealth Bank is exceptional at being as flexible as possible in finding more flexible arrangements for staff.",current employee,,5,5,5,5,5,4,5
1580806,2017-05-22T23:37:17Z,Business Home Lending Specialist,"Supported in every position, a real opportunity for a great career - especially for the career focused individual.",If you are very career focused than you will be greatly supported in regards to your development and career progression with a seemingly endless list of opportunities. Management are also very supportive of an actual work-life balance with the Bank providing great options for those requiring temporary or permanent relief in regards to working outside of the normal 9 to 5.,Changes made on a very regular basis - It's obviously a requirement in order to remain competitive although constant updates (and regulatory amendments) have made the job challenging yet still rewarding.,current employee,,4,5,4,4,4,4,5
1325110,2017-03-07T05:53:50Z,Operations Review Associate,A varied and exciting place to work,"Career/professional development is seen as a priority and you are always encouraged to be proactive. There is great communication within your business unit, management are approachable.",There is a degree of inflexibility when it comes to moving outside your role within certain business units but this is mostly down to your managers. There is a lot of productivity oversight which does feel like micromanaging at moments - again depending on where you sit within the business,former employee,"Sydney, New South Wales, Australia",4,3,5,4,4,4,4
1224819,2017-02-07T06:07:43Z,National Marketing Manager,A great place to work and I would and have highly recommended to my friends and colleagues.,Great leadership; great opportunities for development;  values and culture are meaningful and everyone lives and breathes them; working with really good people.,Not too many other than the standard issues you face in any corporate ... sometimes it can take a little long to get responses from other parties across the organisation.,current employee,"Sydney, New South Wales, Australia",5,3,5,4,4,5,5
791085,2016-10-18T22:32:53Z,OCM,"Met great people, managed home and work life very well and learnt to surround myself with great people leaders.",The good thing is its Work life balance.,The challenge is  it needs more great people leaders. Often seen those plodding along eventually manage or miss manage people.,former employee,,3,3,3,3,5,5,4
763742,2016-10-12T23:32:12Z,DIrect Sales Team Leader,"Great at the start, great technology , which you can see will replace alot of workers in the future.  CBA and all the banks are only worried about their bottom line in the end. If your a minion then this job is for you, If not theres other bigger and bett","Stable Job , secure, opportunity to advance if you follow the system, good culture within the bank","High expectations, Look at every way to add extra work to to your plate in order to minimise your bonus potential,  even though they try to sell you that they are trying to help you.  Theres a lot of sheep mentality, the want you to express your concerns and opinions to make it a better working place, but when you do your frowned up.  They talk about great work life balance, there is no work life balance in a bank, its all about the numbers. Introducing more systems to make things easier , which in reality only makes things more complicated, more reporting , contributing to slower turn around time, and having to pretend that everything is now better",current employee,,3,2,4,4,4,2,4
733125,2016-09-16T07:56:41Z,Customer Service Specialist,"With a focus on the customer and also a very caring attitude about their people, The Commonwealth Bank was overall good to work for.","It was always good when we where treated as professional, adult, skilled workers, if methods are found that services customers better, they where generally embraced and awarded. As staff, a focus was on and how we are feeling etc as individuals, made me feel good.","I believe the bank needs to be overall more focused on what customers want and need, less focused on who does what and how many, in a demanding environment its service that counts.",former employee,,4,5,4,3,3,5,5
725394,2016-09-15T04:08:46Z,Marketing,A wonderful place to work with great opportuniy for those that work hard,"Great training, development and career opportunities 
Wonderful people and great teams
Excellent flexible working options and some wonderful initiatives happening around diversity and inclusion","It's a big business, so can be difficult to navigate through. All in all though, I feel the business stays remarkably agile given it's scale",current employee,"Sydney, New South Wales, Australia",5,5,5,5,5,5,5
716855,2016-08-25T10:30:15Z,Customer Banking Specialist/2Ic,Good company to work for if you live by sales and service.,Great career development opportunities. Work/life balance is good. Continually challenged and rewarded for hard work. Bonus potential is a great way CBA rewards their staff.,Depending on what sort of manager you work for your job can be either amazing or terrible. More should be done in selecting the leaders at CBA to ensure that there is a great staff moral and support in all levels of the group. Sales targets and referral targets from time to time can be quite challenging especially given that they are the same all year round given that it may be harder to make targets around Christmas/New Years and other seasonal periods.,former employee,"Gold Coast, Queensland, Australia",4,4,5,3,4,5,5
592601,2016-02-22T03:14:40Z,Executive Change Manager,Great opportunities to deliver significant change for staff and customers.,Great bunch of dedicated people who try every day to do excellent work while supporting colleagues and front line teams. The work is never dull and there are many challenges but it is great to part of such a large organisation.,The organisation and management team is constantly changing and adapting to a very competitive environment and it is hard to deliver lasting changes which ensure we have the edge. Flexibility and being creative helps meet these challenges.,former employee,"Sydney, New South Wales, Australia",5,4,5,4,5,5,5
571592,2016-02-17T09:29:11Z,Senior Associate Transaction Banking,"Would never ever work at another bank , our systems / processes / technology / innovation / products absolutely surpass what any other financial institution in Australia can provide!!","THE best systems out of all the banks by a mile, I have worked at other banks which are manual paper based processes, everything is paperless and electronic at CBA","None currently, depends greatly on which department you are in",current employee,"Perth, Western Australia, Australia",5,3,5,5,5,5,5
546224,2016-02-17T08:00:57Z,Investment Analyst,"Don't come for the money, but do come for the work environment!","- Supportive management teams
- Generally great people within the business that you like coming to work with. Collegiate environment despite the size of the business
- Lots of career progression opportunities and the business is supportive of staff looking to undertake industry accreditations or other professional courses/designations. Often will provide financial support if relevant to role.
- Flexible working arrangements for those that need them
- CBA staff benefits like fee free/lower fee accounts, discounts on loans and credit cards plus other benefits
- Workplace is state of the art in a new building","- As with most large organisations there can be a lot of red tape and delays when trying to progress with ideas or projects
- Personally, not a fan of activity based working (we have the Google-style workplace with no fixed seating) as it's not suitable for my role and team. However, many will view this as a positive aspect
- Although we use the latest hardware, some standard business-wide software is outdated and makes certain tasks harder than they should be",current employee,"Sydney, New South Wales, Australia",4,5,4,4,5,4,5
554512,2016-02-17T07:41:15Z,Manager Credit Qualtiy,The position I work and the department is good to work for as management listens to what you have to say even if they can't act upon it,"Interaction with management
Opportunity to progress you career
Ability to expand your skill set",Not being able to always act on suggestion provided,former employee,"Parramatta, New South Wales, Australia",4,4,4,4,4,5,4
519613,2016-02-16T14:09:01Z,Customer Service Representative,"Many opportunities to work, grow and learn within a well recognised and respected company.",Great training and support. CBA really look after their employees and recognise hard work and people who do well. The company really puts the customer at the centre of everything we do so we know we are working to help people not just for a company to make money.,Dealing with targets and busy days when staff were cut short.,former employee,"Belmont, Western Australia, Australia",5,5,5,2,3,3,5
521852,2016-02-16T11:58:10Z,Manager,Opportunities abound but before of politics,"Big company so there's opportunity to move to different roles.  People are generally friendly. Depending on teams, one can get pretty good exposures to a range of work requirements","A staff can be faced with disconnect between senior and middle management  , hence working in such teams can be challenging from a priority and delivery perspective .",former employee,,3,3,3,2,3,3,3
512690,2016-02-16T11:54:11Z,Specialist In Branch And School Banking,A company with financial benifet for personal.banking needs while being a secure 4 star rated bank.,Rewarding career opportunities to develop further with professional skills or be happy even being a teller as no day was the same,"Sales and revenue targets become high pressures to meet for bonus Oppertunity or branch quotes 
and never replaced staff with casual help when required as cut staff down and will continue",former employee,toowoomba and brisbane,4,5,3,2,4,3,3
509407,2016-02-16T10:12:26Z,Post Settlements Team Leader,"I treated all work colleagues regardless of position or title with respect, compassion and justice similarly for customers and as result I received delightful rewards and gained some wonderful insights into leadership roles and more importantly what makes","I was always recognised for my work efforts and received delightful rewards.
We had the opportunity to put forward suggestions for change and a team would review and implement them. 
I was able to enjoy the opportunities of career development starting in a Customer Service Inbound Call Centre and moving onto a Change Management Analyst role and then to a Team Leader/Mamager role of various teams.","Head office of the Mortgage Processing Centre was located in Sydney and our office in Melbourne closed down in 2013.
Change Management and motivating employees to continue to provide excellent customer service during a stressful and emotional period - preparation to close our Melbourne office. 
Being enthusiastic and self-disciplined even when I no longer had a role.",former employee,,4,5,4,5,5,4,5
512415,2016-02-16T09:40:52Z,Customer Service Representative,"Overall the job is ok, if you like sales and customer service you will enjoy the job. the only thing I didn't like is the pressure they put on you if the company isn't hitting sales targets and they only offer part time which is the downside.",If you enjoy customer service and dealing with customers face to face then you will enjoy the role. you can get some nice perks working for CBA and could potentially get bonues if your branch hits target.,There is a lot of pressure on sales so if you're not very confident with sales then I wouldn't recommend this role. CBA is very sales orientated and if you don't hit your target then you will lose out on your bonus. Also it's they make it hard to get full time work in a branch and mainly offer part time also To be honest the pay isn't the best,former employee,"Melbourne, Victoria, Australia",3,3,3,2,3,1,3
506440,2016-02-16T08:23:16Z,EM Projects And Agile Deployment,Interesting place which provides you the flexibility so you can work and what you are interested in.,"Working from home one day a week.
Flexible work arrangement.
Big budgets for building new capabilities.","You never get your entire bonus.
Rating your team members in PFR. There is hardly any recognition for a superior team. Only for superior individuals.",current employee,"Sydney CBD, New South Wales, Australia",4,4,4,4,5,5,5
528022,2016-02-16T07:09:48Z,Customer Service Representative - Call Centre,"An evolving, ever changing, challenging and fun workplace all in one!","Working environment and team atmosphere are great! It's a very diverse and inclusive workplace, and all of our colleagues are genuine, friendly and a lot of fun. The support factor is also very much there; the management are approachable and considerate, and will always do their best to fight for the outcome that's best for you. On top of this there are plenty of coaching and training sessions to ensure you're constantly improving and performing within your role. There are lots of employee benefits and discounts, as well as reward and recognition schemes to work towards.","There's a lot of information/policies/procedures to retain and things are constantly changing, and I mean constantly! You always have to be on your toes, in particular from a risk and compliance perspective. There are many KPI's to meet and it's a very structured environment; you need to be doing what your schedule says you should be doing at the time it says you should be doing it to avoid causing a domino effect for other areas of the business. It can be a very draining workplace if you are unable to find ways to manage your time/workload efficiently.",current employee,"Launceston, Tasmania, Australia",4,5,5,4,5,4,5
504798,2016-02-16T07:09:30Z,QA Test Analyst,Experience of working with Pioneer and digital innovations.,"Good work-life balance, open people and you will heard most of the times. People will be taken care for food and travel if they are late at work and overtime money if any.",Sometimes you will have to be hard on people to understand importance of the situation. Not my fault attitude of some vendor resources does not help project much.,former employee,"Sydney, New South Wales, Australia",5,4,4,4,4,5,5
385722,2015-10-14T10:14:13Z,Customer Services Representative,Good life balance,"Working at CBA has been a great experience as well as a learning one at the same time. Being my first job in the banking sector it thought me a lot, with it's own highs n lows I've slowly and steadily reached to this position (credit officer) where I am today. Having been worked for 7 years I gained a lot of knowledge in different areas of credit, and also got the opportunity to be a part of some of the big projects like the collateral management. 
The friendly environment and good work ethics motivated us to give our best at all times, wherein also enabling us to enjoy more family time",Not enough oppurtunities to grow as they move there business to interstate,former employee,"Melbourne, Victoria, Australia",3,3,3,3,3,4,3
407085,2015-10-08T07:41:42Z,Customer Service Representative,"It was a great experience, learnt quite a few useful skills, had fun working with colleagues, however I didn't agree with the corporation incentives and pressure from managers.","Training before commencing work as well as ongoing training is very useful and helps to remain up to date with products and procedures, making it easy to maintain job readiness. Salary was good and day to day work didn't get repetitive because of all the different clients and tasks that would fill in the days. Having good work colleagues was something that made the difference between the job being enjoyable as opposed to boring.","The bank uses a target/reward system to encourage employees to work more efficiently. However, I found that this 'target' system, where each employee was set a target number and to achieve their assigned target, they would need to be getting referrals or setting up services for clients. Products that held numerical rewards for points included new accounts, loans, credit cards, etc. I found this system was good in the sense it prompted employees to continually inform customers of new deals or products on offer, however, it also culminated in a lot of pressure to maintain weekly targets and essentially I felt it made a lot of employees treat customers like numbers, which defeats the focus Commonwealth Bank pushes so hard for, being number one in customer service. So I found the managers to be challenging because they only seemed to be interested in how much money or equity employees had made for the bank each day.",former employee,"Albury, New South Wales, Australia",4,3,4,3,4,4,4
392260,2015-10-08T07:14:27Z,Customer Service Specialist,Life changing,Being able to assist with fulfilling goals of clients and helping them achieve financially. Also ensuring they are adequately protected for almost any circumstance and watching them leave with a smile on their face after being able to assist with any queries they may have!,"Sometimes targets can be stressful and there is such a vast amount to learn whether it be processes, products and just how to deal with certain situations.",current employee,"Werribee, Victoria, Australia",5,4,5,5,5,4,5
281133,2015-09-28T00:39:20Z,CSR,I would go back again if there is an opportunity open.,Exposure of diversed range of clients; also gained knowledge on different financial products; which helped with my current role as an accountant,"There are always some challenging customers, but helped me to acquire problem solving skills, resolving complaints or conflicts.",former employee,"Brisbane, New Farm, Queensland, Australia",5,4,4,4,4,5,4
278908,2015-09-27T08:06:55Z,Customer Service Specialist,"Great training system and good career development, solid professional experiences.","Top 500 company, their training is excellent. Career development within the company is great, you have various opportunities.","Workload is way above average, at the other hand pay is just average. Management somehow is case by case scenario, you will see some good leaders while at the same time some not as good.",former employee,"Sydney, New South Wales, Australia",4,4,5,3,4,4,3
273452,2015-09-26T08:38:38Z,Customer Service Representative,If you want the ultimate experience in banking. This is it!,Great work environment. Great run business. Great training. Great team morale. Awesome place to work,The sales! I'm not a natural born seller. Picking up clues or even initiating sales was total foreign to me despite working in retail for 20 years,former employee,"Coffs Harbour, New South Wales, Australia",5,4,4,4,4,4,5
270681,2015-09-26T04:53:52Z,Fraud And Compliance Officer,Enjoyed the bank during the 1980 to 1991. They were the good old days.  Lifelong friendships were made with people I worked with.,"Was fortunate to have a housing loan at 4 percent, when everyone else housing loans were 17%.  RDO every 3 weeks were a bonus.","Banking changed in the late 1990's. It became a sell/sell industry.  The prestige of working for the bank disappeared, and you became a sales person. Definitely have to question some of the people who were promoted. Quiet achievers were always overlooked.  Footballers were always promoted due to status for the bank. Very disappointing going into a bank now and the branch manager now is mid 20's usually a graduate from University.  They have no idea what banking is about.",former employee,"Brisbane, Queensland, Australia",4,2,2,3,3,3,3
268224,2015-09-25T23:31:24Z,Customer Service Representative,Learning about state of the art technology with my CBA family,CBA is a very big family to me! Everyone looks after each other re work or outside of work. CBA staff and management do really care about their employees and colleagues. Theres amazing rewards and incentives in place! Great $$ 's in bonus' also.,"Helping our customers accept and use the different options of banking these days. Eg: Self Service Options. Staff are still around and we will always be there to help our customers, however some customers perspective is ""if i use that machine it puts you out of a job""  It in fact makes our job easier if they use those options. Educating our customers is the hardest part. The technology is amazing and is there to make the lives of our staff and community easier, quicker and more convenient. Gone are the days of 9.30-4 bank hours! Gone are the days of endless teller queue's, now to change the mindset!",current employee,"Shepparton, Victoria, Australia",5,5,5,5,5,5,5
266632,2015-09-25T14:14:41Z,Retail Manager,Rewarding and always full of action.,"The cba had excellent computer systems , very easy to navigate. The general processing software was state of the art! Enjoyed interacting with clients and staff.",Work days were always full of different client issues and depending on the demographics at times targets were unachievable.,former employee,,5,5,5,4,5,4,5
264005,2015-09-25T09:18:58Z,HR OD Specialist,An organisation where you can gain experience across many different areas but its up to you to manage your Career.,"Great people, smart and very skilled at what they do. Very innovative work space and an organisation that is right at the top of its game.","Clarity about your role and how you will be measured on your success, although this is impacted by the rapid rate of change. Its important to be clear on your KPI's and make sure that you are leading your own career and managing your manager to help you achieve your outcomes.",former employee,"Sydney, New South Wales, Australia",4,3,4,3,4,4,5
260218,2015-09-25T05:27:44Z,Group Organisational Change Support Manager,"Great opportunity to learn, grow and gain exposure to different areas of business.",Culture due to the people passion and commitment from management actually was believable in most BU's.  A sense of ownership was allowed within certain roles and knowledge that advancement in career did actually occur.,At times some expectations were unrealistic regarding work/life balance within projects. A lot of talk the talk but did not walk the walk from some managers and staff. Some people played favorites within scope of projects and certain BU's considered themselves more important than others.,former employee,"Sydney CBD, New South Wales, Australia",5,5,4,4,5,3,4
346666,2015-09-24T22:59:30Z,Business Process Architect,"Decent salary, good work life balance but poor management.",Very inclusive & diverse culture. Equal opportunity employer. IT savvy management/executive outlook. A great place to learn modern cutting-edge tools in finance/technology. Collaborative work culture. Good work life balance.,Poor mid/senior management - don't connect with staff - indifferent to a large extent. No culture of 360 degree feedback. Management often takes hasty decisions without due diligence - fickle minded.,current employee,"Sydney, New South Wales, Australia",4,3,4,2,4,4,4
288783,2015-09-24T19:00:48Z,Global Mobility Manager,"A roller coaster of enjoyable, challenging experiences and long, hard hours.","Although it was very challenging, my job at CBA gave me a lot of valuable experience. I got a chance to expand my horizons and take on work I hadn't done before. CBA is an employer that looks great on any CV.","I learned a lot but I was placed on a very steep learning curve. Due to problems with the handover of the role to me and subsequent staff shortages, I had to perform my role with insufficient training and inadequate support and consequently I was working long hours. As such, my work-life balance really suffered.",former employee,,3,4,3,2,3,1,4
343360,2015-09-24T13:08:48Z,IT,"Went in as a common IT guy , came out a seasoned politician equipped with all the tools and tricks required to be the prime minister","Work life balance is generally good.Some teams do get to time off to work from home .
but the culture is different from team to team . so one could not really rate working in the company as a whole because different teams and general managers have different ways of running their teams.","-massive restructuring/ redundancies going on at CBA right now. 
-every 6 month there is a restructure in your section we have 3 different General managers in 2 years . 
-Plenty of politics , back stabing environment where people in the circles are promoting each other.
-Out sourcing ongoing moving as many jobs as possible to Indian out/In source partners and moving towards contracting. 
-Quality of managers is really low,
-over bureaucratized, 20% work 80% documentation and bucraciy. 
-Cant get much done and be inivative , there are too many red lines and too many people who would come out of no where take credit for your hard work when you achieve something.
toxic environment despite what is portrayed externally as a professional environment  .",former employee,"Sydney Olympic Park, New South Wales, Australia",1,3,1,1,2,4,3
